"","Site_ID","Dep_ID","Begin_Hour_loc","count_ins_sm","Behavior"
"1","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",0,1,"Total"
"2","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",4,1,"Total"
"3","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",5,1,"Total"
"4","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",7,1,"Total"
"5","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",8,1,"Total"
"6","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",12,1,"Total"
"7","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",18,2,"Total"
"8","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",0,1,"T"
"9","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",4,1,"M"
"10","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",5,1,"M"
"11","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",7,1,"M"
"12","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",8,1,"M"
"13","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",12,1,"M"
"14","BRE","PARKSAUSTRALIA_BREMER_202411_BRE",18,2,"T"
